Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
RWY RWY-15/33 GR-B,1370061.5901179,5097048.4386939,463.9056000,*,S44.2434972,E170.1202417,,,,,,,,441436.59S,1700712.87E,NZUK,,,,
THR RWY 33G,1370061.5901179,5097048.4386939,463.9056000,*,S44.2434972,E170.1202417,,,,,,,,441436.59S,1700712.87E,NZUK,,,,
THR RWY 15,1369872.2796267,5098113.7648352,475.1832000,*,S44.2338583,E170.1183417,,,,,,,,441401.89S,1700706.03E,NZUK,,,,
THR RWY 07,1369864.7337218,5098258.4477745,477.0120000,*,S44.2325550,E170.1183108,,,,,,,,441357.198S,1700705.919E,NZUK,,,,
RWY RWY-07/25,1369774.8212376,5098254.0233603,477.0120000,*,S44.2325664,E170.1171844,,,,,,,,441357.239S,1700701.864E,NZUK,,,,
THR RWY 25,1370324.3184878,5098281.0569654,474.8784000,*,S44.2324967,E170.1240683,,,,,,,,441356.988S,1700726.646E,NZUK,,,,
THR RWY 19,1796714.5238652,5699163.0016932,198.1200000,*,S38.8343694,E175.2663444,,,,,,,,385003.73S,1751558.84E,NZTM,,,,
THR RWY 01,1796024.1426068,5698194.1877127,195.0720000,*,S38.8432472,E175.2586722,,,,,,,,385035.69S,1751531.22E,NZTM,,,,
THR RWY 10,1867353.0459429,5707467.6570609,394.4112000,*,S38.7410278,E176.0760056,,,,,,,,384427.70S,1760433.62E,NZAP,,,,
THR RWY 28,1867901.6664997,5707082.4679686,401.7264000,*,S38.7443278,E176.0824583,,,,,,,,384439.58S,1760456.85E,NZAP,,,,
THR RWY 17,1868327.4071052,5708136.1694308,406.9080000,*,S38.7347167,E176.0869417,,,,,,,,384404.98S,1760512.99E,NZAP,,,,
THR RWY 35,1867926.0122213,5706807.8417415,403.5552000,*,S38.7467917,E176.0828444,,,,,,,,384448.45S,1760458.24E,NZAP,,,,
THR RWY 05G,1701250.4396724,5681324.6256337,27.1272000,*,S39.0112489,E174.1694532,,,,,,,,390040.4961S,1741010.0314E,NZNP,,,,
THR RWY 23G,1702226.7079979,5681741.8478973,27.7368000,*,S39.0073764,E174.1806644,,,,,,,,390026.5551S,1741050.3920E,NZNP,,,,
THR RWY 23,1702508.4018669,5681930.4289043,24.9936000,*,S39.0056444,E174.1838889,,,,,,,,390020.32S,1741102.00E,NZNP,,,,
THR RWY 05,1701304.7014516,5681412.9118512,27.1272000,*,S39.0104472,E174.1700667,,,,,,,,390037.61S,1741012.24E,NZNP,,,,
THR RWY 32,1702531.7169073,5681411.2240270,28.0416000,*,S39.0103194,E174.1842361,,,,,,,,390037.15S,1741103.25E,NZNP,,,,
THR RWY 14,1702057.9156752,5682513.4477834,21.6408000,*,S39.0004444,E174.1786000,,,,,,,,390001.60S,1741042.96E,NZNP,,,,
THR RWY 11,1394764.7801181,5124687.7182072,760.7808000,*,S44.0022806,E170.4400639,,,,,,,,440008.21S,1702624.23E,NZTL,,,,
THR RWY 29,1395369.7587750,5124105.4994361,749.8080000,*,S44.0076861,E170.4473778,,,,,,,,440027.67S,1702650.56E,NZTL,,,,
RWY RWY-11/29,1394685.2603978,5124764.6174350,2496.0000000,*,S44.0015667,E170.4391028,,,,,,,,440005.64S,1702620.77E,NZTL,,,,
RWY RWY-18/36,1679803.8693423,5421965.2306135,42.6720000,*,S41.3498583,E173.9539556,,,,,,,,412059.49S,1735714.24E,NZPN,,,,
THR RWY 36,1679840.7892123,5422025.5833792,42.6720000,*,S41.3493111,E173.9543889,,,,,,,,412057.52S,1735715.80E,NZPN,,,,
RWY RWY-18/36,1680279.8519560,5422743.3698037,42.6720000,*,S41.3428028,E173.9595417,,,,,,,,412034.09S,1735734.35E,NZPN,,,,
RWY RWY-18/36,1680248.6015243,5422691.9006797,42.6720000,*,S41.3432694,E173.9591750,,,,,,,,412035.77S,1735733.03E,NZPN,,,,
THR RWY 18,1680190.8487990,5422597.8537960,42.6720000,*,S41.3441222,E173.9584972,,,,,,,,412038.84S,1735730.59E,NZPN,,,,
THR RWY 16,1712883.3129580,5647394.9673249,288.3408000,*,S39.3154889,E174.3094389,,,,,,,,391855.76S,1741833.98E,NZSD,,,,
THR RWY 34,1712813.0531287,5646893.0649473,281.9400000,*,S39.3200194,E174.3087083,,,,,,,,391912.07S,1741831.35E,NZSD,,,,
THR RWY 27,1713194.2414516,5646968.0172059,281.3304000,*,S39.3192944,E174.3131167,,,,,,,,391909.46S,1741847.22E,NZSD,,,,
THR RWY 09,1712362.1588370,5647315.2346034,288.3408000,*,S39.3162750,E174.3034083,,,,,,,,391858.59S,1741812.27E,NZSD,,,,
THR RWY 23,1826591.8917549,5884372.7933112,1.8288000,*,S37.1596056,E175.5517750,,,,,,,,370934.58S,1753306.39E,NZTH,,,,
THR RWY 05,1826044.5785687,5884162.3321977,1.2192000,*,S37.1616333,E175.5456806,,,,,,,,370941.88S,1753244.45E,NZTH,,,,
RWY RWY-05/23,1826025.8692813,5884155.1231095,1.2192000,*,S37.1617028,E175.5454722,,,,,,,,370942.13S,1753243.70E,NZTH,,,,
RWY RWY-05/23,1826685.6738416,5884408.2091564,1.8288000,*,S37.1592639,E175.5528194,,,,,,,,370933.35S,1753310.15E,NZTH,,,,
RWY RWY-14/32,1826478.4712764,5883726.8400699,3.0480000,*,S37.1654500,E175.5506944,,,,,,,,370955.62S,1753302.50E,NZTH,,,,
THR RWY 32,1826444.9433458,5883820.2811694,3.0480000,*,S37.1646167,E175.5502889,,,,,,,,370952.62S,1753301.04E,NZTH,,,,
THR RWY 14,1826136.2000271,5884678.0866738,3.3528000,*,S37.1569667,E175.5465556,,,,,,,,370925.08S,1753247.60E,NZTH,,,,
RWY RWY-14/32,1826102.4582370,5884773.0737512,3.3528000,*,S37.1561194,E175.5461472,,,,,,,,370922.03S,1753246.13E,NZTH,,,,
RWY RWY-02/20,1910098.0056831,5534636.9328347,4.5720000,*,S40.2812750,E176.6474417,,,,,,,,401652.59S,1763850.79E,NZPO,,,,
THR RWY 20,1910669.9191385,5535112.9128556,2.7432000,*,S40.2767833,E176.6539250,,,,,,,,401636.42S,1763914.13E,NZPO,,,,
THR RWY 02,1910157.3180485,5534686.7003766,4.5720000,*,S40.2808056,E176.6481139,,,,,,,,401650.90S,1763853.21E,NZPO,,,,
THR RWY 23,1855079.5882014,5899089.2634561,5.7912000,*,S37.0197750,E175.8672444,,,,,,,,370111.19S,1755202.08E,NZUN,,,,
RWY RWY-05/23,1854355.4724891,5898826.9087043,5.7912000,*,S37.0223333,E175.8592028,,,,,,,,370120.40S,1755133.13E,NZUN,,,,
RWY RWY-05/23,1855152.6380813,5899116.0626969,5.7912000,*,S37.0195139,E175.8680556,,,,,,,,370110.25S,1755205.00E,NZUN,,,,
THR RWY 05,1854428.0045120,5898853.1123209,5.7912000,*,S37.0220778,E175.8600083,,,,,,,,370119.48S,1755136.03E,NZUN,,,,
RWY RWY-16/34,1312163.4071963,4952964.9208414,151.4856000,*,S45.5173667,E169.3146000,,,,,,,,453102.52S,1691852.56E,NZRX,,,,
THR RWY 34,1312175.1800001,4953044.6284306,151.4856000,*,S45.5166556,E169.3147972,,,,,,,,453059.96S,1691853.27E,NZRX,,,,
RWY RWY-16/34,1312345.4472078,4954227.5746274,152.7048000,*,S45.5061000,E169.3176667,,,,,,,,453021.96S,1691903.60E,NZRX,,,,
THR RWY 16,1312343.1132511,4954207.3666935,152.7048000,*,S45.5062806,E169.3176250,,,,,,,,453022.61S,1691903.45E,NZRX,,,,
THR RWY 25,1688336.1481850,6004823.6189405,1.8288000,*,S36.0972111,E173.9813139,,,,,,,,360549.96S,1735852.73E,NZRW,,,,
THR RWY 07,1687656.2833465,6004834.7674864,1.8288000,*,S36.0971722,E173.9737611,,,,,,,,360549.82S,1735825.54E,NZRW,,,,
