Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
THR RWY 04,1558407.0085860,5212924.2435542,115.8240000,*,S43.2353306,E172.4877500,,,,,,,,431407.19S,1722915.90E,NZLA,,,,
RWY RWY-04/22,1558356.8573260,5212900.1822938,115.8240000,*,S43.2355444,E172.4871306,,,,,,,,431407.96S,1722913.67E,NZLA,,,,
THR RWY 25,1558861.4343518,5213084.3424699,115.8240000,*,S43.2339139,E172.4933583,,,,,,,,431402.09S,1722936.09E,NZLA,,,,
THR RWY 07,1558448.4110962,5213087.9980267,115.8240000,*,S43.2338583,E172.4882722,,,,,,,,431401.89S,1722917.78E,NZLA,,,,
RWY RWY-07/25,1558412.7681976,5213088.7053500,115.8240000,*,S43.2338500,E172.4878333,,,,,,,,431401.86S,1722916.20E,NZLA,,,,
THR RWY 01,1926719.4569451,5742303.6177451,167.6400000,*,S38.4078083,E176.7414972,,,,,,,,382428.11S,1764429.39E,NZGA,,,,
THR RWY 19,1927231.8976211,5743172.3668882,167.6400000,*,S38.3998083,E176.7469500,,,,,,,,382359.31S,1764449.02E,NZGA,,,,
THR RWY 15,1684667.4309575,5410496.3538315,6.0960000,*,S41.4526528,E174.0136889,,,,,,,,412709.55S,1740049.28E,NZCL,,,,
THR RWY 33,1684774.1713709,5409803.9051191,6.0960000,*,S41.4588778,E174.0150639,,,,,,,,412731.96S,1740054.23E,NZCL,,,,
RWY RWY-15/33,1684659.1959324,5410546.1078973,6.0960000,*,S41.4522056,E174.0135833,,,,,,,,412707.94S,1740048.90E,NZCL,,,,
THR RWY 30,1677424.1442821,5400350.7459569,30.4800000,*,S41.5447583,E173.9282833,,,,,,,,413241.13S,1735541.82E,NZOM,,,,
THR RWY 12,1676732.9811121,5401071.8438360,30.4800000,*,S41.5383306,E173.9199056,,,,,,,,413217.99S,1735511.66E,NZOM,,,,
THR RWY 25,1677404.5117877,5400809.5914058,30.4800000,*,S41.5406278,E173.9279889,,,,,,,,413226.26S,1735540.76E,NZOM,,,,
THR RWY 07,1676716.0750300,5400746.3233134,30.4800000,*,S41.5412639,E173.9197444,,,,,,,,413228.55S,1735511.08E,NZOM,,,,
RWY RWY-01/19,1677382.1640912,5401102.2222873,30.4800000,*,S41.5379944,E173.9276833,,,,,,,,413216.78S,1735539.66E,NZOM,,,,
THR RWY 19,1677363.8126815,5401076.5112689,30.4800000,*,S41.5382278,E173.9274667,,,,,,,,413217.62S,1735538.88E,NZOM,,,,
THR RWY 01,1676780.3688156,5400299.6505280,30.4800000,*,S41.5452806,E173.9205722,,,,,,,,413243.01S,1735514.06E,NZOM,,,,
THR RWY 01G,1923030.2730923,5604448.4853406,20.4216000,*,S39.6487639,E176.7646139,,,,,,,,393855.55S,1764552.61E,NZHS,,,,
RWY RWY-01/19 GR,1922983.2376586,5604369.2047176,20.4216000,*,S39.6494944,E176.7641056,,,,,,,,393858.18S,1764550.78E,NZHS,,,,
THR RWY 19G,1923430.5204810,5605129.2953503,21.3360000,*,S39.6424917,E176.7689361,,,,,,,,393832.97S,1764608.17E,NZHS,,,,
RWY RWY-01/19,1922938.0596114,5604414.2097330,18.5928000,*,S39.6491069,E176.7635581,,,,,,,,393856.7847S,1764548.8093E,NZHS,,,,
THR RWY 01,1922993.6602987,5604504.8311796,18.5928000,*,S39.6482711,E176.7641606,,,,,,,,393853.776S,1764550.978E,NZHS,,,,
THR RWY 19,1923500.7203641,5605331.3314894,19.2024000,*,S39.6406487,E176.7696537,,,,,,,,393826.3352S,1764610.7534E,NZHS,,,,
RWY RWY-11/29,1923354.5418938,5604497.8910256,21.9456000,*,S39.6481972,E176.7683611,,,,,,,,393853.51S,1764606.10E,NZHS,,,,
THR RWY 29,1923310.3983674,5604538.6746846,21.9456000,*,S39.6478472,E176.7678278,,,,,,,,393852.25S,1764604.18E,NZHS,,,,
THR RWY 11,1922831.7529525,5604976.7885489,21.9456000,*,S39.6440889,E176.7620472,,,,,,,,393838.72S,1764543.37E,NZHS,,,,
RWY RWY-11/29,1922701.5722795,5605096.2529183,21.9456000,*,S39.6430639,E176.7604750,,,,,,,,393835.03S,1764537.71E,NZHS,,,,
RWY RWY-13/31,1543234.1557008,5372292.9826738,162.1536000,*,S41.7991944,E172.3167139,,,,,,,,414757.10S,1721900.17E,NZMR,,,,
THR RWY 31,1543195.6268312,5372349.4264384,161.8488000,*,S41.7986833,E172.3162556,,,,,,,,414755.26S,1721858.52E,NZMR,,,,
THR RWY 13,1542913.2925663,5372763.5485081,160.6296000,*,S41.7949333,E172.3128972,,,,,,,,414741.76S,1721846.43E,NZMR,,,,
THR RWY 13,1853027.2880738,5764227.9915238,365.7600000,*,S38.2343722,E175.8908833,,,,,,,,381403.74S,1755327.18E,NZTO,,,,
THR RWY 31,1853639.2016672,5763287.0310271,372.7704000,*,S38.2426694,E175.8982028,,,,,,,,381433.61S,1755353.53E,NZTO,,,,
THR RWY 31,1853567.8775114,5763395.4271530,372.1608000,*,S38.2417139,E175.8973500,,,,,,,,381430.17S,1755350.46E,NZTO,,,,
THR RWY 13,1853099.0198095,5764108.7875246,365.7600000,*,S38.2354250,E175.8917444,,,,,,,,381407.53S,1755330.28E,NZTO,,,,
THR RWY 21,1473702.8050719,5117489.7985581,80.7720000,*,S44.0848806,E171.4224694,,,,,,,,440505.57S,1712520.89E,NZRI,,,,
THR RWY 03,1473271.4040557,5117155.5902458,81.6864000,*,S44.0878139,E171.4170028,,,,,,,,440516.13S,1712501.21E,NZRI,,,,
THR RWY 12,1472740.2931365,5118059.2551392,87.7824000,*,S44.0795889,E171.4105889,,,,,,,,440446.52S,1712438.12E,NZRI,,,,
THR RWY 30,1473349.8540811,5117217.5924701,81.6864000,*,S44.0872694,E171.4179972,,,,,,,,440514.17S,1712504.79E,NZRI,,,,
THR RWY 27G,1802970.3636908,5546506.2059023,45.7200000,*,S40.2073000,E175.3849361,,,,,,,,401226.28S,1752305.77E,NZOH,,,,
RWY RWY-09/27 GR,1802291.3648564,5546754.6346083,45.7200000,*,S40.2052278,E175.3768861,,,,,,,,401218.82S,1752236.79E,NZOH,,,,
THR RWY 33,1803413.9685823,5545390.7599705,39.9288000,*,S40.2172333,E175.3904972,,,,,,,,401302.04S,1752325.79E,NZOH,,,,
THR RWY 15,1803087.1456469,5547347.0456614,49.0728000,*,S40.1997028,E175.3860417,,,,,,,,401158.93S,1752309.75E,NZOH,,,,
RWY RWY-15/33,1803059.4275736,5547491.7983921,49.9872000,*,S40.1984065,E175.3856706,,,,,,,,401154.2633S,1752308.4141E,NZOH,,,,
THR RWY 29,1802891.2300967,5546220.4233264,45.7200000,*,S40.2098917,E175.3840972,,,,,,,,401235.61S,1752302.75E,NZOH,,,,
THR RWY 09G,1802291.3648564,5546754.6346083,45.7200000,*,S40.2052278,E175.3768861,,,,,,,,401218.82S,1752236.79E,NZOH,,,,
THR RWY 23,1803045.9118491,5546570.5201153,45.7200000,*,S40.2067028,E175.3858028,,,,,,,,401224.13S,1752308.89E,NZOH,,,,
THR RWY 05,1802510.3656961,5546407.1609641,45.7200000,*,S40.2083028,E175.3795667,,,,,,,,401229.89S,1752246.44E,NZOH,,,,
RWY RWY-09/27,1801941.3914949,5547098.1985050,45.7200000,*,S40.2022194,E175.3726694,,,,,,,,401207.99S,1752221.61E,NZOH,,,,
THR RWY 27,1804226.9185440,5546243.0351231,45.1104000,*,S40.2093639,E175.3997722,,,,,,,,401233.71S,1752359.18E,NZOH,,,,
THR RWY 09,1802081.0161174,5547046.0154161,45.7200000,*,S40.2026556,E175.3743250,,,,,,,,401209.56S,1752227.57E,NZOH,,,,
THR RWY 09G,1943685.6605088,5795808.1999648,5.7912000,*,S37.9203639,E176.9095611,,,,,,,,375513.31S,1765434.42E,NZWK,,,,
THR RWY 27G,1944368.9821784,5795495.8832242,5.7912000,*,S37.9229139,E176.9174667,,,,,,,,375522.49S,1765502.88E,NZWK,,,,
THR RWY 27,1944889.2978106,5795317.3440798,5.7912000,*,S37.9243222,E176.9234583,,,,,,,,375527.56S,1765524.45E,NZWK,,,,
THR RWY 09,1943724.5164200,5795853.5232813,5.4864000,*,S37.9199417,E176.9099806,,,,,,,,375511.79S,1765435.93E,NZWK,,,,
THR RWY 21,1827209.2744048,5580744.6728437,252.9840000,*,S39.8929389,E175.6574694,,,,,,,,395334.58S,1753926.89E,NZFL,,,,
THR RWY 03,1826439.3685007,5580107.6997185,247.4976000,*,S39.8988778,E175.6486944,,,,,,,,395355.96S,1753855.30E,NZFL,,,,
THR RWY 29,1571719.0027972,5497331.2349030,4.5720000,*,S40.6744139,E172.6653694,,,,,,,,404027.89S,1723955.33E,NZOI,,,,
THR RWY 11,1571534.8532285,5497478.2301059,4.5720000,*,S40.6730833,E172.6631972,,,,,,,,404023.10S,1723947.51E,NZOI,,,,
RWY RWY-05R/23L,1757298.3303298,5901776.6191436,4.5720000,*,S37.0170324,E174.7681889,,,,,,,,370101.3166S,1744605.4801E,NZAA,,,,
THR RWY 23L,1760661.1757367,5902865.2324171,7.0104000,*,S37.0066549,E174.8057416,,,,,,,,370023.9577S,1744820.6697E,NZAA,,,,
THR RWY 05R,1757530.6747689,5901851.8350575,4.5720000,*,S37.0163157,E174.7707838,,,,,,,,370058.7367S,1744614.8218E,NZAA,,,,
RWY RWY-09/27,1748324.0597480,5941890.6101424,62.7888000,*,S36.6570306,E174.6595194,,,,,,,,363925.31S,1743934.27E,NZNE,,,,
THR RWY 27,1748314.1813865,5941893.8636013,62.7888000,*,S36.6570028,E174.6594083,,,,,,,,363925.21S,1743933.87E,NZNE,,,,
THR RWY 09,1747857.9659070,5942025.3539627,60.3504000,*,S36.6558889,E174.6542806,,,,,,,,363921.20S,1743915.41E,NZNE,,,,
RWY RWY-09/27,1747785.7824104,5942045.0937732,59.7408000,*,S36.6557222,E174.6534694,,,,,,,,363920.60S,1743912.49E,NZNE,,,,
RWY RWY-03/21,1747660.0649563,5941696.4610991,62.4840000,*,S36.6588833,E174.6521306,,,,,,,,363931.98S,1743907.67E,NZNE,,,,
RWY RWY-03/21,1748264.0506386,5942240.9060055,64.6176000,*,S36.6538833,E174.6587806,,,,,,,,363913.98S,1743931.61E,NZNE,,,,
RWY RWY-03/21,1748256.7273611,5942233.9426404,64.6176000,*,S36.6539472,E174.6587000,,,,,,,,363914.21S,1743931.32E,NZNE,,,,
THR RWY 03,1747750.3635813,5941776.9024591,62.7888000,*,S36.6581444,E174.6531250,,,,,,,,363929.32S,1743911.25E,NZNE,,,,
THR RWY 21,1748216.6136416,5942197.9531357,64.6176000,*,S36.6542778,E174.6582583,,,,,,,,363915.40S,1743929.73E,NZNE,,,,
RWY RWY-03/21,1747667.3819881,5941703.1167825,63.0936000,*,S36.6588222,E174.6522111,,,,,,,,363931.76S,1743907.96E,NZNE,,,,
THR RWY 11,1503642.9516368,5138779.8445151,90.2208000,*,S43.8977889,E171.8002139,,,,,,,,435352.04S,1714800.77E,NZAS,,,,
RWY RWY-11/29,1504312.1106481,5138255.6792333,86.8680000,*,S43.9025944,E171.8084500,,,,,,,,435409.34S,1714830.42E,NZAS,,,,
THR RWY 29,1504212.1717866,5138331.6914744,87.1728000,*,S43.9018972,E171.8072194,,,,,,,,435406.83S,1714825.99E,NZAS,,,,
RWY RWY-11/29,1503499.8089974,5138879.5970626,90.8304000,*,S43.8968722,E171.7984500,,,,,,,,435348.74S,1714754.42E,NZAS,,,,
THR RWY 06,1503172.2557778,5138190.3846623,88.3920000,*,S43.9030333,E171.7942472,,,,,,,,435410.92S,1714739.29E,NZAS,,,,
RWY RWY-06/24,1504294.0468223,5138270.5392519,86.8680000,*,S43.9024583,E171.8082278,,,,,,,,435408.85S,1714829.62E,NZAS,,,,
THR RWY 24,1504174.3550174,5138262.0226945,87.1728000,*,S43.9025194,E171.8067361,,,,,,,,435409.07S,1714824.25E,NZAS,,,,
RWY RWY-06/24,1502909.2722086,5138170.1861429,89.0016000,*,S43.9031806,E171.7909694,,,,,,,,435411.45S,1714727.49E,NZAS,,,,
THR RWY 02,1503599.7172151,5137870.1275311,85.9536000,*,S43.9059722,E171.7995111,,,,,,,,435421.50S,1714758.24E,NZAS,,,,
THR RWY 20,1504019.9527776,5138370.2636706,87.1728000,*,S43.9015250,E171.8048333,,,,,,,,435405.49S,1714817.40E,NZAS,,,,
RWY RWY-02/20,1503518.6827597,5137781.3114136,85.3440000,*,S43.9067611,E171.7984861,,,,,,,,435424.34S,1714754.55E,NZAS,,,,
RWY RWY-02/20,1504097.7845474,5138465.5071243,87.7824000,*,S43.9006778,E171.8058194,,,,,,,,435402.44S,1714820.95E,NZAS,,,,
THR RWY 34,1503551.5731213,5137912.9381275,85.9536000,*,S43.9055806,E171.7989194,,,,,,,,435420.09S,1714756.11E,NZAS,,,,
RWY RWY-16/34,1503512.1150137,5138877.3073411,90.8304000,*,S43.8968944,E171.7986028,,,,,,,,435348.82S,1714754.97E,NZAS,,,,
THR RWY 16,1503516.4319637,5138733.8785244,90.2208000,*,S43.8981861,E171.7986306,,,,,,,,435353.47S,1714755.07E,NZAS,,,,
RWY RWY-16/34,1503551.6938557,5137797.2206983,85.3440000,*,S43.9066222,E171.7989000,,,,,,,,435423.84S,1714756.04E,NZAS,,,,
RWY RWY-18/36,1548176.1583693,5196017.9149625,120.7008000,*,S43.3869222,E172.3601611,,,,,,,,432312.92S,1722136.58E,NZFF,,,,
THR RWY 36,1548224.3051448,5196165.1337799,120.7008000,*,S43.3856000,E172.3607694,,,,,,,,432308.16S,1722138.77E,NZFF,,,,
THR RWY 18,1548460.6418234,5196891.9329436,121.0056000,*,S43.3790722,E172.3637556,,,,,,,,432244.66S,1722149.52E,NZFF,,,,
RWY RWY-18/36,1548485.7127827,5196968.3253550,121.0056000,*,S43.3783861,E172.3640722,,,,,,,,432242.19S,1722150.66E,NZFF,,,,
THR RWY 28,1548431.6965551,5196026.0406094,118.5672000,*,S43.3868667,E172.3633167,,,,,,,,432312.72S,1722147.94E,NZFF,,,,
RWY RWY-10/28,1548571.7828195,5195949.0561287,117.6528000,*,S43.3875694,E172.3650389,,,,,,,,432315.25S,1722154.14E,NZFF,,,,
THR RWY 10,1547978.3910197,5196279.8605762,121.9200000,*,S43.3845500,E172.3577444,,,,,,,,432304.38S,1722127.88E,NZFF,,,,
RWY RWY-10/28,1547916.9257996,5196313.9398833,122.5296000,*,S43.3842389,E172.3569889,,,,,,,,432303.26S,1722125.16E,NZFF,,,,
RWY RWY-05/23,1547924.7817829,5196082.9280911,121.9200000,*,S43.3863194,E172.3570639,,,,,,,,432310.75S,1722125.43E,NZFF,,,,
RWY RWY-05/23,1548661.0681398,5196309.4547782,118.5672000,*,S43.3843306,E172.3661750,,,,,,,,432303.59S,1722158.23E,NZFF,,,,
THR RWY 23,1548541.4151517,5196273.0661465,119.1768000,*,S43.3846500,E172.3646944,,,,,,,,432304.74S,1722152.90E,NZFF,,,,
THR RWY 05,1548092.9147738,5196134.2002921,121.3104000,*,S43.3858694,E172.3591444,,,,,,,,432309.13S,1722132.92E,NZFF,,,,
RWY RWY-05/23,1547963.6170103,5196094.6421280,121.9200000,*,S43.3862167,E172.3575444,,,,,,,,432310.38S,1722127.16E,NZFF,,,,
THR RWY 23,1265740.6559759,5006450.6855389,356.9208000,*,S45.0165475,E168.7577332,,,,,,,,450059.5710S,1684527.8395E,NZQN,,,,
THR RWY 05,1264026.3659315,5005975.8058329,353.5680000,*,S45.0200010,E168.7357194,,,,,,,,450112.0035S,1684408.5898E,NZQN,,,,
THR RWY 32,1264713.9486737,5005575.8311590,353.2632000,*,S45.0239168,E168.7441558,,,,,,,,450126.1004S,1684438.9608E,NZQN,,,,
THR RWY 14,1264445.2163666,5006244.8820811,356.0064000,*,S45.0177837,E168.7412002,,,,,,,,450104.0212S,1684428.3209E,NZQN,,,,
RWY RWY-07/25,1727838.0408591,5942782.9911883,2.4384000,*,S36.6519611,E174.4302333,,,,,,,,363907.06S,1742548.84E,NZPI,,,,
THR RWY 07,1727860.3786795,5942782.0417745,2.4384000,*,S36.6519667,E174.4304833,,,,,,,,363907.08S,1742549.74E,NZPI,,,,
RWY RWY-07/25,1728688.7035853,5942769.3456707,1.5240000,*,S36.6519694,E174.4397500,,,,,,,,363907.09S,1742623.10E,NZPI,,,,
THR RWY 25,1728583.4288621,5942771.2327558,1.5240000,*,S36.6519667,E174.4385722,,,,,,,,363907.08S,1742618.86E,NZPI,,,,
THR RWY 16,1891860.1774706,5691102.9580006,709.5744000,*,S38.8804917,E176.3644639,,,,,,,,385249.77S,1762152.07E,NZRK,,,,
RWY RWY-16/34,1891867.3731210,5691212.9269870,709.5744000,*,S38.8795000,E176.3645000,,,,,,,,385246.20S,1762152.2E,NZRK,,,,
THR RWY 34,1891768.5044015,5689710.9623192,712.3176000,*,S38.8930444,E176.3640000,,,,,,,,385334.96S,1762150.40E,NZRK,,,,
THR RWY 31,1369711.9501910,5149426.5347762,634.8984000,*,S43.7723944,E170.1386194,,,,,,,,434620.62S,1700819.03E,NZMC,,,,
THR RWY 13,1369052.8080518,5150742.1611199,656.2344000,*,S43.7603583,E170.1310056,,,,,,,,434537.29S,1700751.62E,NZMC,,,,
THR RWY 35,1524914.9813193,5434114.6643345,4.5720000,*,S41.2408861,E172.1039444,,,,,,,,411427.19S,1720614.20E,NZKM,,,,
THR RWY 17,1524957.5932498,5434633.2327764,6.7056000,*,S41.2362194,E172.1045167,,,,,,,,411410.39S,1720616.26E,NZKM,,,,
THR RWY 19,1525292.7022187,5434941.3864908,8.5344000,*,S41.2334750,E172.1085528,,,,,,,,411400.51S,1720630.79E,NZKM,,,,
RWY RWY-01/19,1525299.3267129,5434953.7908136,8.5344000,*,S41.2333639,E172.1086333,,,,,,,,411400.11S,1720631.08E,NZKM,,,,
THR RWY 01,1524856.0341057,5434119.6077054,4.5720000,*,S41.2408361,E172.1032417,,,,,,,,411427.01S,1720611.67E,NZKM,,,,
THR RWY 28,1367999.5699834,5194738.6204503,92.9640000,*,S43.3643750,E170.1367528,,,,,,,,432151.75S,1700812.31E,NZFJ,,,,
THR RWY 10,1367331.0984596,5195179.2529600,85.0392000,*,S43.3602056,E170.1287000,,,,,,,,432136.74S,1700743.32E,NZFJ,,,,
THR RWY 14,1314850.6903247,4987712.8260128,228.2952000,*,S45.2063250,E169.3689861,,,,,,,,451222.77S,1692208.35E,NZLX,,,,
THR RWY 32,1315320.9489739,4986607.5440730,228.6000000,*,S45.2164444,E169.3743306,,,,,,,,451259.20S,1692227.59E,NZLX,,,,
THR RWY 14G,1314893.8532998,4987846.4924992,228.2952000,*,S45.2051417,E169.3696111,,,,,,,,451218.51S,1692210.6E,NZLX,,,,
THR RWY 32G,1315369.4664553,4986743.6127040,228.6000000,*,S45.2152417,E169.3750250,,,,,,,,451254.87S,1692230.09E,NZLX,,,,
RWY RWY-01/19,1314816.4184007,4986823.8518851,228.6000000,*,S45.2142972,E169.3680417,,,,,,,,451251.47S,1692204.95E,NZLX,,,,
THR RWY 01,1314848.3040501,4986887.4393881,228.6000000,*,S45.2137389,E169.3684833,,,,,,,,451249.46S,1692206.54E,NZLX,,,,
THR RWY 19,1315106.1590630,4987408.0058285,229.2096000,*,S45.2091667,E169.3720583,,,,,,,,451233S,1692219.41E,NZLX,,,,
THR RWY 25,1349722.1473950,4873475.4533632,6.7056000,*,S46.2461750,E169.7532833,,,,,,,,461446.23S,1694511.82E,NZBA,,,,
THR RWY 07,1349061.9586464,4873575.1151235,6.0960000,*,S46.2450361,E169.7447861,,,,,,,,461442.13S,1694441.23E,NZBA,,,,
RWY RWY-16/34,1237274.7752060,4890390.5525627,75.2856000,*,S46.0438056,E168.3116944,,,,,,,,460237.70S,1681842.10E,NZCB,,,,
RWY RWY-16/34,1237311.8848316,4891077.1135186,77.7240000,*,S46.0376667,E168.3126944,,,,,,,,460215.60S,1681845.70E,NZCB,,,,
THR RWY 16,1237310.3512265,4891051.9397764,77.7240000,*,S46.0378917,E168.3126556,,,,,,,,460216.41S,1681845.56E,NZCB,,,,
THR RWY 34,1237275.8964659,4890415.3923796,75.2856000,*,S46.0435833,E168.3117278,,,,,,,,460236.90S,1681842.22E,NZCB,,,,
THR RWY 03,1381963.1306011,4909447.0779084,0.9144000,*,S45.9339250,E170.1874722,,,,,,,,455602.13S,1701114.90E,NZDN,,,,
THR RWY 21,1383500.7245420,4910563.1750009,1.2192000,*,S45.9243778,E170.2077861,,,,,,,,455527.76S,1701228.03E,NZDN,,,,
THR RWY 32,1236582.4269220,5020685.2246211,378.8664000,*,S44.8744944,E168.3990556,,,,,,,,445228.18S,1682356.60E,NZGY,,,,
THR RWY 14,1236364.9355346,5021324.8246670,377.0376000,*,S44.8686444,E168.3967694,,,,,,,,445207.12S,1682348.37E,NZGY,,,,
THR RWY 33,1369565.2363255,5133515.5585500,541.6296000,*,S43.9154278,E170.1299417,,,,,,,,435455.54S,1700747.79E,NZGT,,,,
THR RWY 15,1369353.1802494,5134546.4132541,534.3144000,*,S43.9060917,E170.1277500,,,,,,,,435421.93S,1700739.90E,NZGT,,,,
THR RWY 24,1283632.4806167,4880438.5845237,60.0456000,*,S46.1561389,E168.9025917,,,,,,,,460922.10S,1685409.33E,NZGC,,,,
RWY RWY-06/24,1283666.5481808,4880440.9634259,60.0456000,*,S46.1561333,E168.9030333,,,,,,,,460922.08S,1685410.92E,NZGC,,,,
THR RWY 06,1283247.2702605,4880406.9116280,60.0456000,*,S46.1562444,E168.8975944,,,,,,,,460922.48S,1685351.34E,NZGC,,,,
THR RWY 12,1283240.5780636,4880677.6284264,60.0456000,*,S46.1538111,E168.8976889,,,,,,,,460913.72S,1685351.68E,NZGC,,,,
RWY RWY-12/30,1283228.7620487,4880694.0360111,60.0456000,*,S46.1536583,E168.8975472,,,,,,,,460913.17S,1685351.17E,NZGC,,,,
RWY RWY-12/30,1283537.4003035,4880252.0351860,60.0456000,*,S46.1577694,E168.9012389,,,,,,,,460927.97S,1685404.46E,NZGC,,,,
THR RWY 30,1283493.5341944,4880314.4390243,60.0456000,*,S46.1571889,E168.9007139,,,,,,,,460925.88S,1685402.57E,NZGC,,,,
THR RWY 19,1283363.2131930,4880801.2453046,60.3504000,*,S46.1527583,E168.8993556,,,,,,,,460909.93S,1685357.68E,NZGC,,,,
THR RWY 01,1282665.4854098,4879724.4977220,59.1312000,*,S46.1621000,E168.8896222,,,,,,,,460943.56S,1685322.64E,NZGC,,,,
THR RWY 06,1821603.8748816,5986400.6113482,6.4008000,*,S36.2418970,E175.4661014,,,,,,,,361430.8293S,1752757.9652E,NZGB,,,,
THR RWY 24,1822228.1590337,5986481.8168576,3.9624000,*,S36.2410222,E175.4730199,,,,,,,,361427.6800S,1752822.8715E,NZGB,,,,
THR RWY 10G,1821430.1686283,5986732.5536496,6.4008000,*,S36.2389470,E175.4640761,,,,,,,,361420.2091S,1752750.6739E,NZGB,,,,
THR RWY 28G,1822239.9128333,5986235.7492264,4.2672000,*,S36.2432359,E175.4732204,,,,,,,,361435.6492S,1752823.5935E,NZGB,,,,
THR RWY 10,1821434.2509464,5986720.0862645,6.4008000,*,S36.2390583,E175.4641250,,,,,,,,361420.61S,1752750.85E,NZGB,,,,
THR RWY 28,1822220.3392256,5986237.8835439,4.2672000,*,S36.2432212,E175.4730022,,,,,,,,361435.5962S,1752822.8078E,NZGB,,,,
RWY RWY-01/19,1450961.9735811,5296869.0818473,4.2672000,*,S42.4661889,E171.1871417,,,,,,,,422758.28S,1711113.71E,NZGM,,,,
RWY RWY-01/19,1451476.1991811,5297763.2421298,2.4384000,*,S42.4582389,E171.1936250,,,,,,,,422729.66S,1711137.05E,NZGM,,,,
RWY RWY-01/19,1450931.9961462,5296817.8318548,4.2672000,*,S42.4666444,E171.1867639,,,,,,,,422759.92S,1711112.35E,NZGM,,,,
THR RWY 01,1450967.1513270,5296883.3877863,3.3528000,*,S42.4660611,E171.1872083,,,,,,,,422757.82S,1711113.95E,NZGM,,,,
THR RWY 19,1451447.9030545,5297718.5110113,2.1336000,*,S42.4586361,E171.1932694,,,,,,,,422731.09S,1711135.77E,NZGM,,,,
THR RWY 34,1281906.7584595,5135106.5402787,6.7056000,*,S43.8685389,E169.0413278,,,,,,,,435206.74S,1690228.78E,NZHT,,,,
RWY RWY-16/34,1281908.6575352,5135085.6021010,6.7056000,*,S43.8687278,E169.0413389,,,,,,,,435207.42S,1690228.82E,NZHT,,,,
THR RWY 16,1281839.9111247,5135763.2816918,5.4864000,*,S43.8626111,E169.0408889,,,,,,,,435145.40S,1690227.20E,NZHT,,,,
RWY RWY-16/34,1281837.7430381,5135780.4959141,5.4864000,*,S43.8624556,E169.0408722,,,,,,,,435144.84S,1690227.14E,NZHT,,,,
THR RWY 36L,1805036.1929885,5806407.0278131,49.0728000,*,S37.8667611,E175.3309639,,,,,,,,375200.34S,1751951.47E,NZHN,,,,
THR RWY 18R,1805225.5849231,5807008.7049985,52.1208000,*,S37.8613000,E175.3329444,,,,,,,,375140.68S,1751958.60E,NZHN,,,,
THR RWY 36R,1804906.3997839,5805645.3163295,49.9872000,*,S37.8736500,E175.3297056,,,,,,,,375225.14S,1751946.94E,NZHN,,,,
THR RWY 18L,1805525.0773364,5807611.3246899,51.8160000,*,S37.8558056,E175.3361750,,,,,,,,375120.90S,1752010.23E,NZHN,,,,
THR RWY 25,1805147.6368319,5806893.7514671,51.8160000,*,S37.8623528,E175.3320917,,,,,,,,375144.47S,1751955.53E,NZHN,,,,
THR RWY 07,1804531.6984292,5806964.6448044,51.5112000,*,S37.8618528,E175.3250750,,,,,,,,375142.67S,1751930.27E,NZHN,,,,
THR RWY 04,1239014.4642255,4848730.5172042,1.5240000,*,S46.4184111,E168.3022589,,,,,,,,462506.2800S,1681808.1320E,NZNV,,,,
RWY RWY-04/22,1240844.1382460,4849726.9613040,1.2192000,*,S46.4104477,E168.3267541,,,,,,,,462437.6119S,1681936.3147E,NZNV,,,,
THR RWY 22,1240693.9531970,4849645.3037971,1.2192000,*,S46.4111004,E168.3247438,,,,,,,,462439.9615S,1681929.0777E,NZNV,,,,
THR RWY 12,1239915.1029963,4849461.9730340,0.3048000,*,S46.4123306,E168.3145028,,,,,,,,462444.39S,1681852.21E,NZNV,,,,
THR RWY 22G,1240605.8464783,4849415.9186836,1.2192000,*,S46.4131111,E168.3234250,,,,,,,,462447.20S,1681924.33E,NZNV,,,,
THR RWY 04G,1239983.5149512,4849081.7101750,1.5240000,*,S46.4157778,E168.3150972,,,,,,,,462456.80S,1681854.35E,NZNV,,,,
THR RWY 12,1625622.8678523,6119763.9891655,67.9704000,*,S35.0645361,E173.2810139,,,,,,,,350352.33S,1731651.65E,NZKT,,,,
THR RWY 30,1626481.0475124,6118655.6220806,82.2960000,*,S35.0745083,E173.2904611,,,,,,,,350428.23S,1731725.66E,NZKT,,,,
RWY RWY-18/36,1625870.9023538,6118187.5987186,79.2480000,*,S35.0787444,E173.2837833,,,,,,,,350443.48S,1731701.62E,NZKT,,,,
THR RWY 36,1625958.9431725,6118423.6241533,79.2480000,*,S35.0766139,E173.2847417,,,,,,,,350435.81S,1731705.07E,NZKT,,,,
THR RWY 18,1626279.2491011,6119283.4027081,78.3336000,*,S35.0688528,E173.2882278,,,,,,,,350407.87S,1731717.62E,NZKT,,,,
RWY RWY-18/36,1626314.7267015,6119377.8721812,78.3336000,*,S35.0680000,E173.2886139,,,,,,,,350404.80S,1731719.01E,NZKT,,,,
